web-scraper-order,web-scraper-start-url,category_link,category_link-href,company,rating
"1593950182-2664","https://directory.goodonyou.eco/","Basics & Intimates575","https://directory.goodonyou.eco/categories/basics","Beaumont Organic","Rated : Good"
"1593950113-2092","https://directory.goodonyou.eco/","Maternity44","https://directory.goodonyou.eco/categories/maternity","Underprotection","Rated : Good"
"1593950256-3725","https://directory.goodonyou.eco/","Sweaters & Knitwear620","https://directory.goodonyou.eco/categories/knitwear","Linea","Rated : Not good enough"
"1593950195-2992","https://directory.goodonyou.eco/","Suits80","https://directory.goodonyou.eco/categories/suits","Michael Kors","Rated : Not Good Enough"
"1593950136-2295","https://directory.goodonyou.eco/","Swimwear277","https://directory.goodonyou.eco/categories/swimwear","Etam","Rated : Not good enough"
"1593950084-1681","https://directory.goodonyou.eco/","Shoes421","https://directory.goodonyou.eco/categories/shoes","Balenciaga","Rated : It's a start"
"1593950287-4024","https://directory.goodonyou.eco/","Dresses & Playsuits614","https://directory.goodonyou.eco/categories/dresses","Maiyet","Rated : It's a start"
"1593950182-2840","https://directory.goodonyou.eco/","Basics & Intimates575","https://directory.goodonyou.eco/categories/basics","Triumph","Rated : It's a start"
"1593950054-1523","https://directory.goodonyou.eco/","Bags378","https://directory.goodonyou.eco/categories/bags","Chanel","Rated : Not good enough"
"1593950182-2759","https://directory.goodonyou.eco/","Basics & Intimates575","https://directory.goodonyou.eco/categories/basics","GILDA & PEARL","Rated : It's a start"
"1593950287-3861","https://directory.goodonyou.eco/","Dresses & Playsuits614","https://directory.goodonyou.eco/categories/dresses","Spell","Rated : Good"
"1593950256-3655","https://directory.goodonyou.eco/","Sweaters & Knitwear620","https://directory.goodonyou.eco/categories/knitwear","Zalando Essentials","Rated : It's a start"
"1593950287-3761","https://directory.goodonyou.eco/","Dresses & Playsuits614","https://directory.goodonyou.eco/categories/dresses","Taiyo","Rated : Good"
"1593950398-5225","https://directory.goodonyou.eco/","Activewear162","https://directory.goodonyou.eco/categories/activewear","Vivo Barefoot","Rated : It's a start"
"1593950256-3479","https://directory.goodonyou.eco/","Sweaters & Knitwear620","https://directory.goodonyou.eco/categories/knitwear","Eileen Fisher","Rated : Good"
"1593950318-4247","https://directory.goodonyou.eco/","Denim403","https://directory.goodonyou.eco/categories/denim","American Rag","null"
"1593950054-1370","https://directory.goodonyou.eco/","Bags378","https://directory.goodonyou.eco/categories/bags","Cotton On Body","Rated : It's a start"
"1593950102-1942","https://directory.goodonyou.eco/","Plus Size162","https://directory.goodonyou.eco/categories/plus-size","Reebok","Rated : Good"
"1593950318-4199","https://directory.goodonyou.eco/","Denim403","https://directory.goodonyou.eco/categories/denim","BATSHEVA","Rated : It's a start"
"1593950256-3460","https://directory.goodonyou.eco/","Sweaters & Knitwear620","https://directory.goodonyou.eco/categories/knitwear","Plant Faced","Rated : Good"
"1593950023-861","https://directory.goodonyou.eco/","Accessories585","https://directory.goodonyou.eco/categories/accessories","Passion Lilie","Rated : Great"
"1593950084-1726","https://directory.goodonyou.eco/","Shoes421","https://directory.goodonyou.eco/categories/shoes","Penelope Chilvers","Rated : It's a start"
"1593950182-2843","https://directory.goodonyou.eco/","Basics & Intimates575","https://directory.goodonyou.eco/categories/basics","Gymshark","Rated : Not good enough"
"1593950318-4202","https://directory.goodonyou.eco/","Denim403","https://directory.goodonyou.eco/categories/denim","St. Agni","Rated : It's a start"
"1593950195-2953","https://directory.goodonyou.eco/","Suits80","https://directory.goodonyou.eco/categories/suits","Halogen","Rated : Not Good Enough"
"1593950102-2000","https://directory.goodonyou.eco/","Plus Size162","https://directory.goodonyou.eco/categories/plus-size","American Eagle","Rated : Not Good Enough"
"1593950349-4695","https://directory.goodonyou.eco/","Bottoms749","https://directory.goodonyou.eco/categories/bottoms","Wrangler","Rated : It's a start"
"1593950226-3268","https://directory.goodonyou.eco/","Outerwear641","https://directory.goodonyou.eco/categories/outerwear","Trouvé","Rated : Not Good Enough"
"1593950054-1390","https://directory.goodonyou.eco/","Bags378","https://directory.goodonyou.eco/categories/bags","YiY","Rated : Not good enough"
"1593950136-2335","https://directory.goodonyou.eco/","Swimwear277","https://directory.goodonyou.eco/categories/swimwear","Ulla Johnson","Rated : Not good enough"
"1593950152-2507","https://directory.goodonyou.eco/","Sleepwear110","https://directory.goodonyou.eco/categories/sleepwear","Summersalt","Rated : Not good enough"
"1593950136-2372","https://directory.goodonyou.eco/","Swimwear277","https://directory.goodonyou.eco/categories/swimwear","duskii","Rated : Not good enough"
"1593950102-1979","https://directory.goodonyou.eco/","Plus Size162","https://directory.goodonyou.eco/categories/plus-size","BlackMilk Clothing","Rated : It's a start"
"1593950226-3227","https://directory.goodonyou.eco/","Outerwear641","https://directory.goodonyou.eco/categories/outerwear","Tucker + Tate","Rated : It's a start"
