Garmin Ltd,65
Professional Cycle Marketing Ltd,65
Impact Telecom,59
Ocean Spray Cranberries Inc,47
ZTE Corporation,21
Svenska Cellulosa Aktiebolaget (SCA),36
PVH Corp,12
The Wonderful Company LLC,33
Farrington Oils Ltd,62
Trafficmaster PLC,65
Havre Global Ab,65
Jelly Belly Candy Co,65
Edwin Tucker & Sons Ltd,33
Woodlands Park Dairy,65
Jekka's Herb Farm,65
Spectrum Brands Holdings Inc,10
"TA Associates, Inc",47
Seabrook Group Ltd,65
Staples Inc,59
Maxingvest ag,47
SAIC Motor Corporation Limited,21
Hony Capital,39
London Overground,33
OLD: American Apparel Inc- see Gildan Activewear SRL,62
Rizopia Food Products Inc,65
ICAP,65
Hampstead Tea & Coffee Co Ltd,71
Skechers USA Inc,27
Travelscope Holidays Ltd,65
Pashley Holdings Limited,47
Prestbury Investment Holdings Ltd,65
Lily's Kitchen Ltd,0
Paperback,65
Hiscox Ltd,15
Phoenix Equity Partners Holdings LLP,65
Groupe PSA,30
Mondragon Co-operative Corporation (MCC),65
Blackstone Group L.P. (The),15
ageas SA/NV,12
Caledonia Investments plc,15
Greencore Group Plc,62
Rolls-Royce plc,62
BlackBerry Limited,24
Continental Clothing Company Ltd,65
Paperpod Ltd,65
Deutsche Bank AG,10
Dong Ah Ind. Co. Ltd,65
Blackwell Ltd,54
Bespoke British Pens Limited,47
Nationwide Building Society,64
Healthy Sales Group Limited,50
Nutrafoods,65
Thales Group,47
General Electric Company Inc,12
The Edinburgh Woollen Mill (Group) Ltd,65
Ravensburger AG,65
Cut4Cloth Ltd,65
Robinson Webster (Holdings) Ltd,65
Societe Nationale des Chemins de Fer Francais (SNCF),41
Cowon Systems Inc,65
Twin Trading Ltd,65
Vodafone Group plc,30
Somerfield Group,65
Pipers Crisps Ltd,65
Western Digital Corp,62
The Little Group,54
ING Groep NV,18
BUPA (British United Provident Association),65
Animal Friends Insurance Services Ltd,65
Burns Pet Nutrition Ltd,39
Bain Capital LLC,41
Renewable Energy Holdings Plc,65
Hanwha Group,33
Furniture Village Holdings Ltd.,33
Dawson & Son (Retail) Ltd,65
Yora Holding BV,65
Skye Cooks Ltd,65
Charity Bank Ltd,71
Tribest Corporation,65
RSPB,56
Green Baby Co. Ltd.,65
Meyer International Holding Ltd,41
Marston's plc,30
Springdale Group,65
Kerry Group plc,24
T Choithram & Sons (London) LTD,65
Green Board Games,65
Prudential Plc,1
ROSKILLY'S LIMITED,65
Burley Design Co-operative,65
Nottingham Building Society,65
Paulig Ltd,65
ALDA CAPITAL LIMITED,56
Arena Online Limited,65
Archer Daniels Midland Company,4
LVMH Moët Hennessy Louis Vuitton SA,4
Remarkable (Pencils) Ltd,65
Smeg SpA,36
E&J Gallo Winery,50
Everton Football Club,65
Wonderworld Products Co Ltd,65
Sony Corporation,51
Po-zu,69
Seven Investment Management Ltd,15
Lilly's Eco Clean Ltd,59
Windhorse Trading Limited,65
Altaba [F.K.A. Yahoo! Inc],59
ARC International,65
Marsh & McLennan Cos Inc,4
Frank Roberts & Sons Ltd,47
Stellar Winery (PTY) Ltd,71
Oase Outdoors ApS,65
Fortune Brands,65
Topco-Tacoba Forestry Consultants,65
Barry M Cosmetics Ltd,65
Xerox Corporation,65
Le Coq Sportif Holding LCSH,65
The company of wine people,65
Avalon Vineyard,65
Estée Lauder Companies Inc,15
Solarcentury,39
Citigroup Inc,1
Brothers Brewing Company Ltd,65
Kenana Knitters,65
Cisco Systems Inc,24
Braham & Murray Ltd,62
Prestat Ltd,65
Creative Technology Ltd,65
Cumberland Building Society,62
Leonard Green & Partners,62
AMT Coffee Ltd.,27
A. L. Simpkins,65
Greenfibres Ltd,68
Thornberg Investments Management Inc,65
Chelsea Building Society,62
Lydian Capital Partners L P,65
THTC CLOTHING LIMITED,62
Vega Nutritionals Ltd,65
Air France-KLM Group,65
Crosslee Holdings,47
Vega Corporation Ltd,65
Motherease Inc,65
Alpha ApS,65
Edizione Srl,65
Supercover Quilty Group Ltd,65
Neonlite Electronic and Lighting (HK) Ltd,41
Laltex & Co Ltd,65
Antofagasta plc,62
Tamilnadu Industrial Development Corporation Limited,65
Yakit Rakit Ltd (The),56
Jumping Frog,65
Target Corporation,50
