,category_link-href,company,rating,sd_rating
2673,https://directory.goodonyou.eco/categories/denim,Edie Parker,Rated : Not good enough,25
2674,https://directory.goodonyou.eco/categories/bags,Target Australia,Rated : Not Good Enough,25
2675,https://directory.goodonyou.eco/categories/accessories,Raen,Rated : Not good enough,25
2676,https://directory.goodonyou.eco/categories/bottoms,Fair Indigo,Rated : Good,75
2677,https://directory.goodonyou.eco/categories/dresses,Le Kasha,Rated : Not good enough,25
2678,https://directory.goodonyou.eco/categories/knitwear,Cotopaxi,Rated : Not good enough,25
2679,https://directory.goodonyou.eco/categories/tops,Malaika New York,Rated : Good,75
2680,https://directory.goodonyou.eco/categories/bottoms,Lois Hazel,Rated : Good,75
2681,https://directory.goodonyou.eco/categories/dresses,Filippa K,Rated : Good,75
2682,https://directory.goodonyou.eco/categories/outerwear,Intermix,Rated : Not Good Enough,25
2683,https://directory.goodonyou.eco/categories/accessories,C&A,Rated : Good,75
2684,https://directory.goodonyou.eco/categories/accessories,Vieri,Rated : Good,75
2685,https://directory.goodonyou.eco/categories/swimwear,FH Christensen,Rated : Good,75
2686,https://directory.goodonyou.eco/categories/denim,RtA,Rated : Not good enough,25
2687,https://directory.goodonyou.eco/categories/basics,Bonds,Rated : It's a start,50
2688,https://directory.goodonyou.eco/categories/plus-size,BON'A PARTE,Rated : Not good enough,25
2689,https://directory.goodonyou.eco/categories/shoes,Slazenger,Rated : Not Good Enough,25
2690,https://directory.goodonyou.eco/categories/shoes,Nordstrom,Rated : Not Good Enough,25
2691,https://directory.goodonyou.eco/categories/basics,Pier One,Rated : It's a start,50
2692,https://directory.goodonyou.eco/categories/bags,Nordstrom,Rated : Not Good Enough,25
2693,https://directory.goodonyou.eco/categories/denim,True Religion,Rated : Not Good Enough,25
2694,https://directory.goodonyou.eco/categories/accessories,laCalifornienne,Rated : Good,75
2695,https://directory.goodonyou.eco/categories/tops,The Classic T-Shirt Company,Rated : Great,100
2696,https://directory.goodonyou.eco/categories/knitwear,Sundried,Rated : Good,75
2697,https://directory.goodonyou.eco/categories/knitwear,People Tree,Rated : Great,100
2698,https://directory.goodonyou.eco/categories/outerwear,Wolf & Rita,Rated : Not good enough,25
2699,https://directory.goodonyou.eco/categories/tops,zero waste daniel,Rated : Great,100
2700,https://directory.goodonyou.eco/categories/dresses,People Tree,Rated : Great,100
2701,https://directory.goodonyou.eco/categories/accessories,tentree,Rated : Good,75
2702,https://directory.goodonyou.eco/categories/bottoms,ZuVi,Rated : Good,75
2703,https://directory.goodonyou.eco/categories/basics,Vans,Rated : It's a start,50
2704,https://directory.goodonyou.eco/categories/tops,Corinne,Rated : It's a start,50
2705,https://directory.goodonyou.eco/categories/swimwear,Amir Slama,Rated : Not good enough,25
2706,https://directory.goodonyou.eco/categories/basics,go as u.r,Rated : Good,75
2707,https://directory.goodonyou.eco/categories/outerwear,American Eagle,Rated : Not Good Enough,25
2708,https://directory.goodonyou.eco/categories/denim,L'Autre Chose,Rated : Not good enough,25
2709,https://directory.goodonyou.eco/categories/tops,MUD Jeans,Rated : Great,100
2710,https://directory.goodonyou.eco/categories/activewear,V by Very,Rated : Not good enough,25
2711,https://directory.goodonyou.eco/categories/suits,All Things Mochi,Rated : Not good enough,25
2712,https://directory.goodonyou.eco/categories/dresses,TAHLO,Rated : Not good enough,25
2713,https://directory.goodonyou.eco/categories/dresses,Next,Rated : Not good enough,25
2714,https://directory.goodonyou.eco/categories/shoes,Splendid,Rated : Not Good Enough,25
2715,https://directory.goodonyou.eco/categories/accessories,132 5. Issey Miyake,Rated : It's a start,50
2716,https://directory.goodonyou.eco/categories/bottoms,New Balance,Rated : Not Good Enough,25
2717,https://directory.goodonyou.eco/categories/accessories,Rosie Assoulin,Rated : It's a start,50
2718,https://directory.goodonyou.eco/categories/knitwear,Katharine Hamnett,Rated : Good,75
2719,https://directory.goodonyou.eco/categories/outerwear,Designers Remix,Rated : It's a start,50
2720,https://directory.goodonyou.eco/categories/tops,Massimo Dutti,Rated : It's a start,50
2721,https://directory.goodonyou.eco/categories/shoes,River Island,Rated : Not Good Enough,25
2722,https://directory.goodonyou.eco/categories/plus-size,KILLSTAR,Rated : Not good enough,25
2723,https://directory.goodonyou.eco/categories/bags,Mango,Rated : Not good enough,25
2724,https://directory.goodonyou.eco/categories/tops,Mimi Prober,Rated : Good,75
2725,https://directory.goodonyou.eco/categories/basics,Klättermusen,Rated : It's a start,50
2726,https://directory.goodonyou.eco/categories/knitwear,IZOD,Rated : Not good enough,25
2727,https://directory.goodonyou.eco/categories/dresses,Panaashe Organics,Rated : Good,75
2728,https://directory.goodonyou.eco/categories/accessories,Ruth Tomlinson,Rated : It's a start,50
2729,https://directory.goodonyou.eco/categories/activewear,Etam,Rated : Not good enough,25
2730,https://directory.goodonyou.eco/categories/basics,Naja,Rated : Good,75
2731,https://directory.goodonyou.eco/categories/tops,For Days,Rated : Good,75
2732,https://directory.goodonyou.eco/categories/knitwear,Simon Miller,Rated : Not good enough,25
2733,https://directory.goodonyou.eco/categories/knitwear,LNBF,Rated : Good,75
2734,https://directory.goodonyou.eco/categories/outerwear,Kaffe,Rated : Not good enough,25
2735,https://directory.goodonyou.eco/categories/activewear,Laundry by Shelli Segal,Rated : Not Good Enough,25
2736,https://directory.goodonyou.eco/categories/knitwear,FAGUO,Rated : It's a start,50
2737,https://directory.goodonyou.eco/categories/tops,PRIMARK,Rated : It's a start,50
2738,https://directory.goodonyou.eco/categories/bottoms,Toad&Co,Rated : Good,75
2739,https://directory.goodonyou.eco/categories/knitwear,Marimekko,Rated : It's a start,50
2740,https://directory.goodonyou.eco/categories/knitwear,Gymshark,Rated : Not good enough,25
2741,https://directory.goodonyou.eco/categories/activewear,Plein Sport,Rated : We avoid,0
2742,https://directory.goodonyou.eco/categories/accessories,Allora Capes,Rated : It's a start,50
2743,https://directory.goodonyou.eco/categories/bottoms,Marvaan,Rated : Good,75
2744,https://directory.goodonyou.eco/categories/swimwear,Jonathan Simkhai,Rated : Not good enough,25
2745,https://directory.goodonyou.eco/categories/knitwear,Celtic & Co,Rated : Not good enough,25
2746,https://directory.goodonyou.eco/categories/shoes,Reformation,Rated : Good,75
2747,https://directory.goodonyou.eco/categories/bags,Tumi,Rated : Not good enough,25
2748,https://directory.goodonyou.eco/categories/bags,Amour Vert,Rated : Good,75
