,category-href,company,rating,sd_rating
700,https://thegoodshoppingguide.com/subject/mobile-networks/,Three,90,90
701,https://thegoodshoppingguide.com/subject/biscuits/,McVities,46,46
702,https://thegoodshoppingguide.com/subject/make-up/,Urban Decay,46,46
703,https://thegoodshoppingguide.com/subject/ethical-insurance/,More Than,72,72
704,https://thegoodshoppingguide.com/subject/fridges-freezers/,Belling,82,82
705,https://thegoodshoppingguide.com/subject/pcs-laptops-and-tablets/,Toshiba,71,71
706,https://thegoodshoppingguide.com/subject/butter/,Clover,58,58
707,https://thegoodshoppingguide.com/subject/chocolate/,Ferrero Rocher,65,65
708,https://thegoodshoppingguide.com/subject/shoes-trainers/,Nine West,54,54
709,https://thegoodshoppingguide.com/subject/ethical-banks-building-societies%e2%80%8d%e2%80%8d%e2%80%8d/,Starling Bank,72,72
710,https://thegoodshoppingguide.com/subject/soft-drinks/,Schweppes,70,70
711,https://thegoodshoppingguide.com/subject/skincare/,Origins,42,42
712,https://thegoodshoppingguide.com/subject/beer-lager-and-cider/,Miller Genuine Draft,67,67
713,https://thegoodshoppingguide.com/subject/shampoo-conditioner/,Tigi,35,35
714,https://thegoodshoppingguide.com/subject/coffee/,Asda,46,46
715,https://thegoodshoppingguide.com/subject/mobile-phones/,NEC,79,79
716,https://thegoodshoppingguide.com/subject/shampoo-conditioner/,Living Naturally,100,100
717,https://thegoodshoppingguide.com/subject/mobile-networks/,EE,50,50
718,https://thegoodshoppingguide.com/subject/ethical-furniture%e2%80%8d%e2%80%8d%e2%80%8d/,Laura Ashley,82,82
719,https://thegoodshoppingguide.com/subject/sugar/,The Co-operative,80,80
720,https://thegoodshoppingguide.com/subject/ethical-feminine-care/,Cottons,67,67
721,https://thegoodshoppingguide.com/subject/butter/,Lurpak,67,67
722,https://thegoodshoppingguide.com/subject/televisions/,Hinari,77,77
723,https://thegoodshoppingguide.com/subject/cat-dog-food/,Pedigree,32,32
724,https://thegoodshoppingguide.com/subject/make-up/,Smashbox,42,42
725,https://thegoodshoppingguide.com/subject/washing-machines/,Samsung,27,27
726,https://thegoodshoppingguide.com/subject/shampoo-conditioner/,Jason,58,58
727,https://thegoodshoppingguide.com/subject/make-up/,Chanel,58,58
728,https://thegoodshoppingguide.com/subject/tinned-tuna/,Sainsbury's,68,68
729,https://thegoodshoppingguide.com/subject/beer-lager-and-cider/,Grolsch,67,67
730,https://thegoodshoppingguide.com/subject/soap/,Suma,88,88
731,https://thegoodshoppingguide.com/subject/pasta-pulse-and-rices/,Suma,96,96
732,https://thegoodshoppingguide.com/subject/chocolate/,Aero,50,50
733,https://thegoodshoppingguide.com/subject/tv-and-broadband/,Virgin Media,85,85
734,https://thegoodshoppingguide.com/subject/baby-food/,Farley,54,54
735,https://thegoodshoppingguide.com/subject/paint/,Farrow & Ball,67,67
736,https://thegoodshoppingguide.com/subject/ethical-flower-delivery-companies/,Teleflorist,80,80
737,https://thegoodshoppingguide.com/subject/ice-cream/,Green & Blacks,54,54
738,https://thegoodshoppingguide.com/subject/vegetarian-foods/,VBites Vegi-Deli,83,83
739,https://thegoodshoppingguide.com/subject/skincare/,Neutrogena,35,35
740,https://thegoodshoppingguide.com/subject/ethical-dog-food/,Goood (Netherlands),91,91
741,https://thegoodshoppingguide.com/subject/ethical-vitamins/,Neal's Yard,100,100
742,https://thegoodshoppingguide.com/subject/nappies/,ImseVimse (washable),87,87
743,https://thegoodshoppingguide.com/subject/tea/,Lidl,50,50
744,https://thegoodshoppingguide.com/subject/bread/,Warburtons,71,71
745,https://thegoodshoppingguide.com/subject/tv-and-broadband/,EE,70,70
746,https://thegoodshoppingguide.com/subject/margarine/,Flora,54,54
747,https://thegoodshoppingguide.com/subject/ethical-flower-delivery-companies/,Flower Station,65,65
748,https://thegoodshoppingguide.com/subject/ethical-cleaners/,ECOS,91,91
749,https://thegoodshoppingguide.com/subject/bottled-water/,Ballygowan,95,95
750,https://thegoodshoppingguide.com/subject/soup/,Carb Options,54,54
751,https://thegoodshoppingguide.com/subject/kitchen-appliances/,Russell Hobbs,77,77
752,https://thegoodshoppingguide.com/subject/ethical-fashion-retailers/,Topshop,50,50
753,https://thegoodshoppingguide.com/subject/dishwashers/,Stoves,82,82
754,https://thegoodshoppingguide.com/subject/laundry-detergents/,Bold,36,36
755,https://thegoodshoppingguide.com/subject/kitchen-appliances/,Tefal,95,95
756,https://thegoodshoppingguide.com/subject/crisps/,Tra'fo,79,79
757,https://thegoodshoppingguide.com/subject/cookers/,Miele,86,86
758,https://thegoodshoppingguide.com/subject/ethical-furniture%e2%80%8d%e2%80%8d%e2%80%8d/,B&Q,82,82
759,https://thegoodshoppingguide.com/subject/ice-cream/,Swedish Glace,63,63
760,https://thegoodshoppingguide.com/subject/skincare/,Kiehls,42,42
761,https://thegoodshoppingguide.com/subject/sun-protection/,Delph,65,65
762,https://thegoodshoppingguide.com/subject/biscuits/,Jacobs,46,46
763,https://thegoodshoppingguide.com/subject/coffee-shops/,Coffee Republic,69,69
764,https://thegoodshoppingguide.com/subject/ethical-banks-building-societies%e2%80%8d%e2%80%8d%e2%80%8d/,RBS,22,22
765,https://thegoodshoppingguide.com/subject/ethical-mortgages/,Yorkshire Building Society,83,83
766,https://thegoodshoppingguide.com/subject/nappies/,MOLTEX nature no. 1,71,71
767,https://thegoodshoppingguide.com/subject/cat-dog-food/,Iams,54,54
768,https://thegoodshoppingguide.com/subject/yoghurt/,Provamel from Alpro,83,83
769,https://thegoodshoppingguide.com/subject/sun-protection/,Coppertone,58,58
770,https://thegoodshoppingguide.com/subject/soup/,Just Wholefoods,79,79
771,https://thegoodshoppingguide.com/subject/washing-machines/,Belling,82,82
772,https://thegoodshoppingguide.com/subject/make-up/,Dr Hauschka,73,73
773,https://thegoodshoppingguide.com/subject/soft-drinks/,Sunny D,61,61
774,https://thegoodshoppingguide.com/subject/laundry-detergents/,Dreft,36,36
775,https://thegoodshoppingguide.com/subject/shampoo-conditioner/,Lavera,88,88
776,https://thegoodshoppingguide.com/subject/beer-lager-and-cider/,Foster's,58,58
777,https://thegoodshoppingguide.com/subject/shoes-trainers/,Russell & Bromley,61,61
778,https://thegoodshoppingguide.com/subject/bottled-water/,Buxton,45,45
779,https://thegoodshoppingguide.com/subject/skincare/,Honesty,92,92
780,https://thegoodshoppingguide.com/subject/chocolate/,MilkyWay,42,42
