,directory_link-href,company,rating,sd_rating
182,http://www.corporatecritic.org/companiesatoz/H.aspx,Hasselblad Group,???,-1
183,http://www.corporatecritic.org/companiesatoz/O.aspx,OneFamily (Family Assurance Friendly Society Ltd),6.5,43
184,http://www.corporatecritic.org/companiesatoz/Flowf.aspx,French Transit Ltd,14,93
185,http://www.corporatecritic.org/companiesatoz/RISO%20.aspx,Riverford Employee Ownership Trust,???,-1
186,http://www.corporatecritic.org/companiesatoz/The%20C.aspx,The English Whisky Company,14,93
187,http://www.corporatecritic.org/companiesatoz/BMK%20H.aspx,Braunstone Properties,14,93
188,http://www.corporatecritic.org/companiesatoz/F.aspx,Fast Retailing Co. Ltd,(8.5),56
189,http://www.corporatecritic.org/companiesatoz/Caurn.aspx,Cinven Group,13,86
190,http://www.corporatecritic.org/companiesatoz/%C3%89.aspx,ENI SpA,4,26
191,http://www.corporatecritic.org/companiesatoz/R.aspx,R Griggs Ltd,6.5,43
192,http://www.corporatecritic.org/companiesatoz/H.aspx,Hansing,14,93
193,http://www.corporatecritic.org/companiesatoz/Caurn.aspx,Chocolaterie Duc d'O,14,93
194,http://www.corporatecritic.org/companiesatoz/Hero.aspx,Hillier Nurseries Ltd,7,46
195,http://www.corporatecritic.org/companiesatoz/K.aspx,"Kansai Electric Power Company, Inc",13.5,90
196,http://www.corporatecritic.org/companiesatoz/F.aspx,Famous Brands Limited,6.5,43
197,http://www.corporatecritic.org/companiesatoz/Ninte.aspx,Nissan Motor Co Ltd,5,33
198,http://www.corporatecritic.org/companiesatoz/The%20C.aspx,The Jones Group,14,93
199,http://www.corporatecritic.org/companiesatoz/Cream.aspx,Credit Suisse Group,11.5,76
200,http://www.corporatecritic.org/companiesatoz/B.aspx,Bebecar Group,14,93
201,http://www.corporatecritic.org/companiesatoz/H.aspx,Heather Ale Ltd,14,93
202,http://www.corporatecritic.org/companiesatoz/TPG.aspx,TransformELT,???,-1
203,http://www.corporatecritic.org/companiesatoz/Briti.aspx,Brompton Bicycles Ltd,8,53
204,http://www.corporatecritic.org/companiesatoz/Agnat.aspx,Alara Wholefoods Ltd,14,93
205,http://www.corporatecritic.org/companiesatoz/BMK%20H.aspx,Bridgestone Corporation,14,93
206,http://www.corporatecritic.org/companiesatoz/V.aspx,Viridian Group Plc,14,93
207,http://www.corporatecritic.org/companiesatoz/B.aspx,BASF SE,12.5,83
208,http://www.corporatecritic.org/companiesatoz/O.aspx,Oasis Cardiff,???,-1
209,http://www.corporatecritic.org/companiesatoz/M.aspx,Manchester City Football Club,(14),93
210,http://www.corporatecritic.org/companiesatoz/C.aspx,Cafe Libertad Kollektiv eG,15,100
211,http://www.corporatecritic.org/companiesatoz/Mio%20T.aspx,Moss Bros Group Plc,13.5,90
212,http://www.corporatecritic.org/companiesatoz/L.aspx,La Fiammante,14,93
213,http://www.corporatecritic.org/companiesatoz/123.aspx,3i Group plc,13.5,90
214,http://www.corporatecritic.org/companiesatoz/E.aspx,Ex Mill Envelope and Paper Co,14,93
215,http://www.corporatecritic.org/companiesatoz/Caurn.aspx,Caurnie Soap Co,14,93
216,http://www.corporatecritic.org/companiesatoz/%C3%89.aspx,Eoltec,14,93
217,http://www.corporatecritic.org/companiesatoz/Maya.aspx,Miele Beteiligungs-GmbH,(???),-1
218,http://www.corporatecritic.org/companiesatoz/H.aspx,Hargreaves Family,7,46
219,http://www.corporatecritic.org/companiesatoz/Londo.aspx,Lunapads International,15,100
220,http://www.corporatecritic.org/companiesatoz/Scott.aspx,Sime S.p.A,12,80
221,http://www.corporatecritic.org/companiesatoz/V.aspx,Vestar Capital Partners,14,93
222,http://www.corporatecritic.org/companiesatoz/RISO%20.aspx,Royal & Sun Alliance Insurance Group Plc,14,93
223,http://www.corporatecritic.org/companiesatoz/Delta.aspx,Dominion Resources Inc,13,86
224,http://www.corporatecritic.org/companiesatoz/R.aspx,RELX plc,13,86
225,http://www.corporatecritic.org/companiesatoz/Caurn.aspx,Clean Slate,14,93
226,http://www.corporatecritic.org/companiesatoz/P.aspx,"Pacari Chocolate, LLC",15,100
